,type,price,index,position,capital
49,SELL,586.4650268554688,2026-03-20 14:40:00+00:00,,103292.82462970934
50,BUY,586.3250122070312,2026-03-20 14:42:00+00:00,176.16990999735256,
51,SELL,586.3900146484375,2026-03-20 14:43:00+00:00,,103304.27610396149
52,BUY,586.2999877929688,2026-03-20 14:45:00+00:00,176.19696103497066,
53,SELL,586.405029296875,2026-03-20 14:46:00+00:00,,103322.7840977323
54,BUY,586.094970703125,2026-03-20 14:47:00+00:00,176.29017354265687,
55,SELL,586.47998046875,2026-03-20 14:49:00+00:00,,103390.65753612995
56,BUY,585.0800170898438,2026-03-20 14:54:00+00:00,176.71199582304908,
57,SELL,586.2999877929688,2026-03-20 14:55:00+00:00,,103606.24099392482
58,BUY,585.77001953125,2026-03-20 14:56:00+00:00,176.8718738402377,
59,SELL,586.280029296875,2026-03-20 14:57:00+00:00,,103696.44737684773
60,BUY,585.9000244140625,2026-03-20 14:59:00+00:00,176.98658995713615,
61,SELL,586.4949951171875,2026-03-20 15:01:00+00:00,,103801.74921271823
62,BUY,585.6599731445312,2026-03-20 15:09:00+00:00,177.23893380554057,
63,SELL,586.6900024414062,2026-03-20 15:15:00+00:00,,103984.31050708484
64,BUY,585.9500732421875,2026-03-20 15:16:00+00:00,177.46274854394562,
65,SELL,586.260009765625,2026-03-20 15:17:00+00:00,,104039.31269440822
66,BUY,585.489990234375,2026-03-20 15:22:00+00:00,177.6961424272355,
67,SELL,587.25,2026-03-20 15:23:00+00:00,,104352.05964039404
68,BUY,585.8101806640625,2026-03-20 15:31:00+00:00,178.13288857851987,
69,SELL,586.3099975585938,2026-03-20 15:38:00+00:00,,104441.09346757723
70,BUY,585.9600219726562,2026-03-20 15:41:00+00:00,178.23928177893842,
71,SELL,586.4600219726562,2026-03-20 15:45:00+00:00,,104530.21310846669
72,BUY,585.97998046875,2026-03-20 15:46:00+00:00,178.38529743771892,
73,SELL,586.4700927734375,2026-03-20 15:49:00+00:00,,104617.64193771625
74,BUY,586.2000122070312,2026-03-20 15:51:00+00:00,178.46748508897662,
75,SELL,587.4135131835938,2026-03-20 16:07:00+00:00,,104834.21240515639
76,BUY,586.9299926757812,2026-03-20 16:08:00+00:00,178.61450890799264,
77,SELL,587.2550048828125,2026-03-20 16:15:00+00:00,,104892.26430090438
78,BUY,587.0599975585938,2026-03-20 16:16:00+00:00,178.6738403861953,
79,SELL,587.530029296875,2026-03-20 16:23:00+00:00,,104976.2466766865
80,BUY,585.7000122070312,2026-03-20 16:54:00+00:00,179.23210600784458,
81,SELL,586.1950073242188,2026-03-20 17:04:00+00:00,,105064.96569400361
82,BUY,585.8200073242188,2026-03-20 17:07:00+00:00,179.34683756175642,
83,SELL,585.9600219726562,2026-03-20 17:09:00+00:00,,105090.0768784132
84,BUY,585.3800048828125,2026-03-20 17:21:00+00:00,179.52454132670832,
85,SELL,585.7000122070312,2026-03-20 17:22:00+00:00,,105147.52604651474
86,BUY,584.030029296875,2026-03-20 17:52:00+00:00,180.0378760885016,
87,SELL,584.4500122070312,2026-03-20 18:00:00+00:00,,105223.13887765275
88,BUY,584.27001953125,2026-03-20 18:01:00+00:00,180.09333931265462,
89,SELL,584.4699096679688,2026-03-20 18:02:00+00:00,,105259.1377598701
90,BUY,584.1199951171875,2026-03-20 18:06:00+00:00,180.2012234468241,
91,SELL,584.27001953125,2026-03-20 18:07:00+00:00,,105286.17234283105
92,BUY,581.5499877929688,2026-03-20 18:59:00+00:00,181.04406251025978,
93,SELL,581.8800048828125,2026-03-20 19:03:00+00:00,,105345.91997747417
94,BUY,581.3599853515625,2026-03-20 19:14:00+00:00,181.206004251856,
95,SELL,581.5001220703125,2026-03-20 19:15:00+00:00,,105371.31359232783
96,BUY,581.27001953125,2026-03-20 19:17:00+00:00,181.2777367690523,
97,SELL,581.6199951171875,2026-03-20 19:19:00+00:00,,105434.75637447099
98,BUY,579.7000122070312,2026-03-20 19:42:00+00:00,181.87813378347235,
99,SELL,580.469970703125,2026-03-20 19:47:00+00:00,,105574.79498883124
100,BUY,579.8900146484375,2026-03-20 19:49:00+00:00,182.06003263021648,
101,SELL,592.489990234375,2026-03-23 14:03:00+00:00,,107868.74695514695
102,BUY,591.489990234375,2026-03-23 14:06:00+00:00,182.36783163888285,
103,SELL,593.8400268554688,2026-03-23 14:27:00+00:00,,108297.3180380078
104,BUY,593.47998046875,2026-03-23 14:28:00+00:00,182.47846869657005,
105,SELL,593.864990234375,2026-03-23 14:29:00+00:00,,108367.57403047227
106,BUY,593.5501708984375,2026-03-23 14:31:00+00:00,182.57525537637335,
107,SELL,594.0307006835938,2026-03-23 14:35:00+00:00,,108455.30687871313
108,BUY,593.219970703125,2026-03-23 14:46:00+00:00,182.82477366728645,
109,SELL,593.6599731445312,2026-03-23 14:49:00+00:00,,108535.75022547628
110,BUY,593.0300903320312,2026-03-23 14:51:00+00:00,183.0189597372846,
111,SELL,593.4199829101562,2026-03-23 14:52:00+00:00,,108607.107959534
112,BUY,593.114990234375,2026-03-23 14:57:00+00:00,183.11307208171704,
113,SELL,593.3300170898438,2026-03-23 14:58:00+00:00,,108646.48218761895
114,BUY,593.2100219726562,2026-03-23 14:59:00+00:00,183.150112377277,
115,SELL,594.5,2026-03-23 15:15:00+00:00,,108882.74180829118
116,BUY,593.659912109375,2026-03-23 15:21:00+00:00,183.40928802386574,
117,SELL,594.1699829101562,2026-03-23 15:24:00+00:00,,108976.29353070424
118,BUY,588.9099731445312,2026-03-23 16:07:00+00:00,185.04745801606435,
119,SELL,589.469970703125,2026-03-23 16:08:00+00:00,,109079.91965541721
120,BUY,589.0,2026-03-23 16:10:00+00:00,185.1951097715063,
121,SELL,589.4000244140625,2026-03-23 16:14:00+00:00,,109154.0022206908
122,BUY,586.97998046875,2026-03-23 16:33:00+00:00,185.95864569950527,
123,SELL,587.6599731445312,2026-03-23 16:38:00+00:00,,109280.45273776467
124,BUY,587.5250244140625,2026-03-23 16:39:00+00:00,186.0013585748962,
125,SELL,588.25,2026-03-23 16:50:00+00:00,,109415.29918168268
126,BUY,587.8107299804688,2026-03-23 16:52:00+00:00,186.14035709303613,
127,SELL,588.0700073242188,2026-03-23 16:53:00+00:00,,109463.56115903445
128,BUY,587.0800170898438,2026-03-23 17:06:00+00:00,186.45424468992394,
129,SELL,587.760009765625,2026-03-23 17:13:00+00:00,,109590.34867979193
130,BUY,586.5800170898438,2026-03-23 17:24:00+00:00,186.8293250484298,
131,SELL,588.9299926757812,2026-03-23 17:42:00+00:00,,110029.39303239292
132,BUY,588.5,2026-03-23 17:43:00+00:00,186.96583352997948,
133,SELL,588.5599975585938,2026-03-23 17:44:00+00:00,,110040.61052594517
134,BUY,588.469970703125,2026-03-23 17:48:00+00:00,186.99443642717182,
135,SELL,589.8900146484375,2026-03-23 18:06:00+00:00,,110306.1508432007
136,BUY,589.4099731445312,2026-03-23 18:09:00+00:00,187.14673295178898,
137,SELL,589.72998046875,2026-03-23 18:15:00+00:00,,110366.03916844889
